bayer_GRBG,$29.65 \pm 3.54$,$0.896 \pm 0.052$
bayer_RGGB,$29.65 \pm 3.54$,$0.896 \pm 0.052$
binning,$28.65 \pm 3.43$,$0.892 \pm 0.047$
chakrabarti,$34.22 \pm 3.04$,$0.975 \pm 0.008$
gindele,$31.18 \pm 3.61$,$0.930 \pm 0.035$
hamilton,$32.49 \pm 3.38$,$0.951 \pm 0.021$
honda,$33.45 \pm 3.35$,$0.965 \pm 0.013$
honda2,$31.17 \pm 3.62$,$0.930 \pm 0.035$
kaizu,$32.21 \pm 3.56$,$0.949 \pm 0.024$
kodak,$32.26 \pm 3.52$,$0.949 \pm 0.023$
lukac,$29.50 \pm 3.54$,$0.893 \pm 0.053$
luo,$33.75 \pm 3.46$,$0.965 \pm 0.015$
quad_bayer,$27.47 \pm 3.33$,$0.848 \pm 0.066$
sony,$32.19 \pm 3.57$,$0.949 \pm 0.024$
sparse_3,$33.90 \pm 3.00$,$0.976 \pm 0.008$
wang,$31.89 \pm 3.62$,$0.942 \pm 0.028$
xtrans,$29.08 \pm 3.49$,$0.883 \pm 0.057$
yamagami,$32.27 \pm 3.56$,$0.949 \pm 0.024$
yamanaka,$29.19 \pm 3.54$,$0.886 \pm 0.057$
